<<<<<<< HEAD
math_score,coding_skill,interest_ai,interest_cloud,recommended_career
90,85,1,1,AI Engineer
80,90,1,0,Software Developer
75,70,0,1,Cloud Architect
60,65,0,0,Project Manager
95,95,1,1,Machine Learning Engineer
50,40,0,1,System Administrator
88,92,1,0,Data Scientist
45,55,0,0,Technical Support
70,60,0,1,Cloud Consultant
=======
math_score,coding_skill,interest_ai,interest_cloud,recommended_career
90,85,1,1,AI Engineer
80,90,1,0,Software Developer
75,70,0,1,Cloud Architect
60,65,0,0,Project Manager
95,95,1,1,Machine Learning Engineer
50,40,0,1,System Administrator
88,92,1,0,Data Scientist
45,55,0,0,Technical Support
70,60,0,1,Cloud Consultant
>>>>>>> 160a65b (new update)
85,80,1,0,AI Researcher
